Time,CV,MV,MVSP,DV1,DV2,DV3
256,72.03730011,46.68980026,46.6637001,70.99990082,24084.30078,0.627583981
257,72.03240204,46.68840027,46.70069885,70.99990082,24143.80078,0.628027022
258,72.01799774,46.6637001,46.6637001,70.99990082,24089.59961,0.628522992
259,72.01524353,46.66500092,46.6637001,70.99990082,24110.94922,0.627922535
260,72.01249695,46.66630173,46.71139908,70.99990082,24132.30078,0.627322018
261,72.02549744,46.65660095,46.64619827,70.99990082,24122.40039,0.627610981
262,72.02449799,46.66839981,46.6739006,70.99990082,24053.59961,0.628759027
263,72.03700256,46.68529892,46.68159866,70.99990082,24085.69922,0.629254997
264,72.04070282,46.68149948,46.6631012,70.99990082,24096.19922,0.627958
265,72.03614807,46.68084717,46.6631012,70.99990082,24093.64844,0.627765536
266,72.03160095,46.68019867,46.69409943,70.99990082,24091.09961,0.627573013
267,72.03130341,46.66469955,46.68050003,70.99990082,24119.30078,0.629166007
268,72.04709625,46.67630005,46.67589951,70.99990082,24076.30078,0.629666984
269,72.03859711,46.66120148,46.65869904,70.99990082,24108.09961,0.629194021
270,72.06040192,46.69549942,46.61759949,70.99990082,24159.80078,0.627209008
271,72.0618515,46.67414856,46.61759949,70.99990082,24142.94922,0.627843499
272,72.06330109,46.65280151,46.65390015,70.99990082,24126.09961,0.628477991
273,72.04620361,46.65259933,46.66419983,70.99990082,24132.5,0.626776993
274,72.04689789,46.64860153,46.62939835,70.99990082,24114.5,0.625922978
275,72.0440979,46.64659882,46.65769958,70.99990082,24107.09961,0.628229976
276,72.05169678,46.64410019,46.6495018,70.99990082,24151.80078,0.627038002
277,72.05574799,46.64479828,46.6495018,70.99990082,24149.65039,0.627738476
278,72.05979919,46.64550018,46.67020035,70.99990082,24147.5,0.628439009
279,72.06240082,46.62939835,46.61819839,70.99990082,24121.5,0.628398001
280,72.06659698,46.65520096,46.61520004,70.99990082,24108.90039,0.628162026
281,72.07039642,46.65599823,46.62279892,70.99990082,24084,0.629894018
282,72.05249786,46.66529846,46.65069962,70.99990082,24085.19922,0.628234029
283,72.061203,46.65309906,46.65069962,70.99990082,24100.44922,0.628439009
284,72.06990051,46.64089966,46.62129974,70.99990082,24115.69922,0.62864399
285,72.06359863,46.66030121,46.61259842,70.99990082,24074.59961,0.628467977
286,72.0585022,46.63710022,46.64300156,70.99990082,24122.19922,0.628609002
287,72.07219696,46.63290024,46.63940048,70.99990082,24101.5,0.627390027
288,72.06929779,46.61980057,46.63290024,70.99990082,24119.30078,0.628165007
289,72.07754517,46.625,46.63290024,70.99990082,24112.94922,0.628573537
290,72.08580017,46.63019943,46.59370041,70.99990082,24106.59961,0.628982008
291,72.08769989,46.63460159,46.62559891,70.99990082,24121.80078,0.627588987
292,72.08630371,46.63899994,46.62210083,70.99990082,24058.80078,0.628360987
293,72.0664978,46.63539886,46.63010025,70.99990082,24075.90039,0.628627002
294,72.07620239,46.6332016,46.60329819,70.99990082,24074.09961,0.630138993
295,72.0734024,46.63310242,46.60329819,70.99990082,24072.80078,0.629354
296,72.07060242,46.63299942,46.59140015,70.99990082,24071.5,0.628569007
297,72.06809998,46.61119843,46.61249924,70.99990082,24075.09961,0.629124999
298,72.07209778,46.60540009,46.60760117,70.99990082,24080.09961,0.62787199
299,72.08699799,46.61629868,46.58330154,70.99990082,24079.59961,0.629580975
300,72.08560181,46.60480118,46.62189865,70.99990082,24092.90039,0.627801001
301,72.08100128,46.60639954,46.62189865,70.99990082,24088.94922,0.627473474
302,72.07640076,46.60800171,46.61449814,70.99990082,24085,0.627146006
303,72.08679962,46.61159897,46.59009933,70.99990082,24097.40039,0.629006982
304,72.08390045,46.61420059,46.60960007,70.99990082,24105.80078,0.628843009
305,72.09609985,46.6072998,46.58929825,70.99990082,24099.69922,0.630335987
306,72.07450104,46.60309982,46.5923996,70.99990082,24075.19922,0.630123973
307,72.073349,46.60765076,46.5923996,70.99990082,24089.39844,0.630259514
308,72.07219696,46.61220169,46.58750153,70.99990082,24103.59961,0.630394995
309,72.05999756,46.60509872,46.6094017,70.99990082,24089.59961,0.630491018
310,72.07230377,46.59420013,46.58660126,70.99990082,24057,0.630396008
311,72.07170105,46.58509827,46.5882988,70.99990082,24089.80078,0.628838003
312,72.09549713,46.59790039,46.55360031,70.99990082,24109.90039,0.629858017
313,72.08650208,46.59049988,46.55360031,70.99990082,24094.30078,0.629934549
314,72.07749939,46.58309937,46.57920074,70.99990082,24078.69922,0.630011022
315,72.06950378,46.59170151,46.60409927,70.99990082,24122.69922,0.629679978
316,72.08969879,46.58300018,46.58679962,70.99990082,24088.19922,0.630201995
317,72.07389832,46.57659912,46.56209946,70.99990082,24069.5,0.630611002
318,72.0739975,46.58250046,46.56809998,70.99990082,24108.30078,0.629718006
319,72.08760071,46.59120178,46.56809998,70.99990082,24102.94922,0.630053997
320,72.10119629,46.59989929,46.55989838,70.99990082,24097.59961,0.630389988
